Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plásticos,Metais,Vidros,Outros
Americana,2021,69144.50,876.10,227.60,492.00,107.00,37.00,12.50
Artur Nogueira,2021,18526.70,,,,,,
Arujá,2021,28220.00,5.00,1.00,1.00,1.00,1.00,1.00
Barueri,2021,94800.00,3360.00,1008.00,672.00,504.00,504.00,672.00
Bertioga,2021,37717.00,755.30,,,,,
Biritiba-Mirim,2021,5346.80,69.40,16.80,14.00,12.10,16.40,10.10
Caieiras,2021,26261.00,11.00,2.20,2.00,2.40,2.20,2.20
Campinas,2021,397614.40,1898.90,1218.30,321.40,113.50,207.90,37.80
Carapicuíba,2021,124653.00,,,,,,
Cosmópolis,2021,14766.00,1.00,0.00,0.00,1.00,0.00,0.00
Cotia,2021,211920.40,2349.90,1245.90,412.00,106.30,571.50,14.20
Cubatão,2021,45232.70,598.70,242.40,258.10,33.80,64.40,0.00
Diadema,2021,110405.00,318.00,,,,,
Embu das Artes,2021,121693.00,247.60,54.00,30.00,41.00,93.00,29.60
Embu-Guaçu,2021,15300.00,,,,,,
Engenheiro Coelho,2021,4412.90,,,,,,
Ferraz de Vasconcelos,2021,62400.00,,,,,,
Francisco Morato,2021,43914.00,,,,,,
Franco da Rocha,2021,33868.00,,,,,,
Guararema,2021,12683.80,500.00,205.00,87.00,61.00,131.00,16.00
Guarujá,2021,150740.00,332.40,162.90,119.70,13.30,36.50,0.00
Guarulhos,2021,352096.50,2458.30,963.00,751.30,230.00,474.50,39.50
Holambra,2021,6131.00,470.00,,,,,
Hortolândia,2021,55068.60,566.60,289.70,108.30,81.20,86.20,1.20
Indaiatuba,2021,76737.00,1069.00,383.00,268.00,81.00,265.00,72.00
Itanhaém,2021,41870.00,229.00,121.20,53.20,27.70,26.90,0.00
Itapecerica da Serra,2021,52232.60,693.80,341.80,248.40,31.20,55.70,16.70
Itapevi,2021,57736.70,,,,,,
Itaquaquecetuba,2021,88914.60,,,,,,
Itatiba,2021,29313.50,1335.00,543.50,376.30,98.30,316.40,0.50
Jaguariúna,2021,19653.50,668.60,285.40,144.10,40.00,192.60,6.50
Jandira,2021,31138.80,,,,,,
Juquitiba,2021,6071.10,,,,,,
Mairiporã,2021,27578.00,206.00,60.00,80.00,6.00,60.00,0.00
Mauá,2021,125494.00,290.00,174.00,43.40,29.00,29.00,14.60
Mogi das Cruzes,2021,320250.20,1921.00,120.00,538.00,618.00,220.00,425.00
Mongaguá,2021,25580.70,700.00,,,,,
Monte Mor,2021,14511.70,,,,,,
Nova Odessa,2021,17144.00,118.00,20.00,80.00,12.00,6.00,0.00
Osasco,2021,273285.00,1200.80,623.20,304.00,91.20,182.40,0.00
Paulínia,2021,30971.50,1150.50,647.80,304.40,45.30,153.00,0.00
Pedreira,2021,11598.00,960.00,430.00,218.00,98.00,94.00,120.00
Peruíbe,2021,39880.00,,,,,,
Poá,2021,28984.00,20.00,,,,,
Praia Grande,2021,132591.30,1278.60,652.10,4.00,241.90,329.00,51.60
Ribeirão Pires,2021,37298.60,310.60,113.50,59.00,47.00,70.30,20.80
Rio Grande da Serra,2021,10000.00,,,,,,
Salesópolis,2021,2426.50,414.50,200.30,54.90,52.40,57.00,49.90
Santa Bárbara D Oeste,2021,55726.00,105.00,25.00,25.00,35.00,15.00,5.00
Santa Isabel,2021,17969.00,459.00,,,,,
Santana de Parnaíba,2021,70180.00,3302.00,1730.00,570.00,115.00,757.00,130.00
Santo André,2021,228450.00,3931.00,1574.00,865.00,392.00,903.00,197.00
Santo Antônio de Posse,2021,6145.00,463.80,224.00,66.70,81.50,79.60,12.00
Santos,2021,195244.30,8451.00,5387.50,1323.00,856.90,883.60,0.00
São Bernardo do Campo,2021,277697.70,4907.90,,,,,
São Caetano do Sul,2021,58456.90,1065.00,365.60,309.90,52.90,336.60,0.00
São Lourenço da Serra,2021,5058.00,,,,,,
São Paulo,2021,3936146.30,33614.70,19131.90,6752.60,2699.60,4414.00,616.60
São Vicente,2021,107299.70,1017.80,120.20,536.80,98.20,92.30,170.30
Sumaré,2021,80090.00,,,,,,
Suzano,2021,97738.40,90.60,38.20,12.70,11.50,28.20,0.00
Taboão da Serra,2021,84170.90,443.20,232.60,140.30,1.00,69.30,0.00
Valinhos,2021,40330.00,723.70,553.20,105.00,65.50,0.00,0.00
Vargem Grande Paulista,2021,14558.00,,,,,,
Vinhedo,2021,35800.00,1311.00,760.00,263.00,65.00,223.00,0.00
---,---,8855236.80,87269.30,40494.80,17014.50,7300.70,12084.50,2744.60
---,---,8855236.80,87269.30,40494.80,17014.50,7300.70,12084.50,2744.60
