Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Adamantina,2022,10723.00,269.00,89.00,73.50,0.00,106.50,0.00
Adolfo,2022,1170.00,9.00,3.00,4.00,1.00,1.00,0.00
Aguaí,2022,7159.00,,,,,,
Águas da Prata,2022,1182.00,113.00,34.00,21.00,3.00,55.00,0.00
Águas de Lindóia,2022,5797.10,5.00,1.00,1.00,1.00,1.00,1.00
Águas de Santa Bárbara,2022,1546.80,,,,,,
Águas de São Pedro,2022,2999.50,65.50,23.00,16.00,15.00,4.00,7.50
Agudos,2022,13450.00,940.00,90.00,360.00,360.00,90.00,40.00
Alambari,2022,1000.00,,,,,,
Alfredo Marcondes,2022,1692.00,134.00,33.60,26.90,33.60,26.90,13.00
Altinópolis,2022,5990.60,227.70,96.80,64.20,31.30,33.40,2.00
Alto Alegre,2022,532.00,40.40,10.30,6.60,3.70,0.40,19.40
Alumínio,2022,5596.50,980.00,,,,,
Álvares Florence,2022,595.30,18.00,,,,,
Álvares Machado,2022,6941.40,241.50,89.80,72.40,29.20,5.80,44.30
Álvaro de Carvalho,2022,756.00,20.00,14.00,2.00,2.00,2.00,0.00
Alvinlândia,2022,116.50,0.10,,,,,
Americana,2022,81113.10,876.10,227.60,492.00,107.00,37.00,12.50
Américo Brasiliense,2022,7133.00,,,,,,
Américo de Campos,2022,4800.00,190.00,90.00,60.00,40.00,0.00,0.00
Amparo,2022,16182.70,193.40,87.70,43.60,25.50,26.80,9.80
Analândia,2022,1311.00,,,,,,
Andradina,2022,15600.00,511.00,131.00,130.00,150.00,100.00,0.00
Angatuba,2022,3511.00,560.80,144.00,222.40,42.00,144.00,8.40
Anhembi,2022,1700.00,,,,,,
Anhumas,2022,997.30,112.30,52.40,31.30,12.30,15.00,1.30
Aparecida,2022,9966.00,,,,,,
Aparecida D Oeste,2022,547.00,,,,,,
Apiaí,2022,4255.00,504.00,238.60,28.70,28.90,28.90,178.90
Araçariguama,2022,6000.00,,,,,,
Araçatuba,2022,61418.00,401.00,,,,,
Araçoiaba da Serra,2022,10677.10,62.00,,,,,
Aramina,2022,1509.70,,,,,,
Arandu,2022,3600.00,,,,,,
Arapeí,2022,337.00,,,,,,
Araraquara,2022,63718.10,2903.90,1480.30,560.90,155.60,641.70,65.40
Araras,2022,28000.00,219.00,,,,,
Arco-Íris,2022,350.00,,,,,,
Arealva,2022,2330.00,10.00,,,,,
Areias,2022,120.00,,,,,,
Areiópolis,2022,2935.00,72.00,,,,,
Ariranha,2022,1978.00,,,,,,
Artur Nogueira,2022,12982.30,,,,,,
Arujá,2022,30800.00,5.00,1.00,1.00,1.00,1.00,1.00
Aspásia,2022,424.40,,,,,,
Assis,2022,31718.50,1364.50,665.50,193.50,114.00,311.00,80.50
Atibaia,2022,50484.00,2673.00,1476.90,818.80,61.00,127.00,189.30
Avaí,2022,889.00,,,,,,
Avanhandava,2022,1500.00,1.00,,,,,
Avaré,2022,35000.00,,,,,,
Bady Bassitt,2022,8350.00,1800.00,,,,,
Balbinos,2022,579.00,,,,,,
Bálsamo,2022,2100.00,105.00,55.00,23.00,14.00,10.00,3.00
Bananal,2022,380.00,,,,,,
Barão de Antonina,2022,1120.00,234.00,96.00,84.00,18.00,36.00,0.00
Barbosa,2022,2100.00,,,,,,
Bariri,2022,9000.00,140.00,28.00,28.00,28.00,28.00,28.00
Barra Bonita,2022,6180.00,324.00,166.00,18.00,20.00,80.00,40.00
Barra do Chapéu,2022,1800.00,10.80,1.00,0.50,5.00,4.00,0.30
Barra do Turvo,2022,1080.50,80.20,30.00,20.00,10.00,10.00,10.20
Barretos,2022,38019.80,402.70,229.70,43.40,55.60,71.70,2.30
Barrinha,2022,7500.00,,,,,,
Barueri,2022,101080.00,2724.00,1524.00,228.00,216.00,600.00,156.00
Bastos,2022,4565.80,20.80,2.00,3.00,1.00,0.80,14.00
Batatais,2022,14040.00,,,,,,
Bauru,2022,98608.70,27.00,,,,,
Bebedouro,2022,18462.00,2.00,,,,,
Bento de Abreu,2022,693.20,,,,,,
Bernardino de Campos,2022,2308.00,,,,,,
Bertioga,2022,38737.70,766.10,,,,,
Bilac,2022,2130.00,200.00,,,,,
Birigui,2022,34308.00,,,,,,
Biritiba-Mirim,2022,6429.00,69.40,16.80,14.00,12.10,16.40,10.10
Boa Esperança do Sul,2022,1100.00,,,,,,
Bocaina,2022,2190.00,,,,,,
Bofete,2022,3600.00,,,,,,
Boituva,2022,18373.00,952.00,510.00,230.00,180.00,32.00,0.00
Bom Jesus dos Perdões,2022,6808.60,,,,,,
Bom Sucesso de Itararé,2022,240.00,,,,,,
Borá,2022,183.30,10.00,,,,,
Boracéia,2022,850.00,,,,,,
Borborema,2022,3585.00,97.00,45.00,31.00,1.00,20.00,0.00
Borebi,2022,700.00,158.80,49.80,47.20,25.00,10.80,26.00
Botucatu,2022,38135.40,447.00,300.00,75.00,40.00,2.00,30.00
Bragança Paulista,2022,61784.60,518.00,230.00,133.00,31.00,124.00,0.00
Braúna,2022,1366.00,77.00,32.10,28.00,2.90,14.00,0.00
Brejo Alegre,2022,450.00,,,,,,
Brodowski,2022,6738.00,,,,,,
Brotas,2022,7970.00,332.00,192.50,70.00,52.50,17.00,0.00
Buri,2022,10000.00,,,,,,
Buritama,2022,13260.00,2000.00,,,,,
Buritizal,2022,955.00,,,,,,
Cabrália Paulista,2022,865.80,,,,,,
Cabreúva,2022,14435.50,210.00,85.00,15.00,19.00,26.80,64.20
Caçapava,2022,18830.00,167.00,75.00,32.00,18.00,41.00,1.00
Cachoeira Paulista,2022,6568.40,,,,,,
Caconde,2022,4882.10,,,,,,
Cafelândia,2022,4620.00,,,,,,
Caiabu,2022,563.00,,,,,,
Caieiras,2022,62278.40,19.00,6.00,7.00,4.00,2.00,0.00
Caiuá,2022,972.00,94.00,35.00,25.00,18.00,10.00,6.00
Cajamar,2022,25265.00,,,,,,
Cajati,2022,12300.90,244.00,130.50,60.80,28.00,24.70,0.00
Cajobi,2022,3000.00,,,,,,
Cajuru,2022,4544.00,,,,,,
Campina do Monte Alegre,2022,1396.00,50.40,,,,,
Campinas,2022,390008.70,2357.00,1249.10,471.40,259.30,329.90,47.30
Campo Limpo Paulista,2022,24863.00,280.00,,,,,
Campos do Jordão,2022,21243.00,2480.00,500.00,150.00,650.00,800.00,380.00
Campos Novos Paulista,2022,1056.00,,,,,,
Cananéia,2022,11866.90,28.90,5.20,1.90,4.20,17.60,0.00
Canas,2022,830.70,,,,,,
Cândido Mota,2022,7500.00,1200.00,200.00,280.00,160.00,400.00,160.00
Cândido Rodrigues,2022,796.00,28.00,15.00,8.00,3.00,1.00,1.00
Capão Bonito,2022,7382.00,1029.10,583.00,247.00,3.00,103.00,93.10
Capela do Alto,2022,5362.90,240.00,,,,,
