nome_armazenador,estado,municipio,nome_geradora_residuo,residuo,ano,nome_distribuidor,quantidade,unidade
IDEAL COMERCIO DE TAMBORES LTDA,SAO PAULO,GUARULHOS,ACRILEX TINTAS ESPECIAIS S/A,Plasticos,2020,IDEAL COMERCIO DE TAMBORES LTDA,175.0,kilogramas (kg)
IDEAL COMERCIO DE TAMBORES LTDA,SAO PAULO,GUARULHOS,ACRILEX TINTAS ESPECIAIS S/A,Metais e derivados,2020,IDEAL COMERCIO DE TAMBORES LTDA,672.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,ZF DO BRASIL LTDA,Metais e derivados,2020,VALLOUREC SOLUÇÕES TUBULARES DO BRASIL S.A.,1388000.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,TT SERVIÇOS DE RECICLAGEM LTDA,Papel e Papelao,2020,GESCRAP - AUTOMETAL COMERCIO DE SUCATAS LTDA,832.2,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,GREENBRIER MAXION - EQUIPAMENTOS E SERVIÇOS FERROVIÁRIOS S.A.,Papel e Papelao,2020,GESCRAP - AUTOMETAL COMERCIO DE SUCATAS LTDA,87350.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,ZF DO BRASIL LTDA,Metais e derivados,2021,ARCELORMITTAL BRASIL S.A.,773030.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,ZF DO BRASIL LTDA,Metais e derivados,2021,MAHLE METAL LEVE S.A,373970.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,ZF DO BRASIL LTDA,Papel e Papelao,2021,VALLOUREC SOLUÇÕES TUBULARES DO BRASIL S.A.,325000.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,TT SERVIÇOS DE RECICLAGEM LTDA,Papel e Papelao,2021,COMPANHIA SIDERÚRGICA DO ESPIRITO SANTO S.A.,278.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,VANASA MULTIGAS ENGENHARIA IND. E COM. LTDA,Metais e derivados,2021,SUDESTE PAULISTA COM DE METAIS LTDA,119.7,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,VANASA MULTIGAS ENGENHARIA IND. E COM. LTDA,Metais e derivados,2021,ARCELORMITTAL BRASIL S.A.,11850.3,kilogramas (kg)
